Key,Translated Text
permProceedWithout,యాక్సెస్ లేకుండా సాగుతున్నాయి
permSeqrAsk,SEQR యాక్సెస్ అవసరం
permDeny,తిరస్కరించు
permAccessCamera,కెమెరా
permCameraReason,QR కోడులు స్కాన్
permAccessStorage,"నిల్వ,"
permStorageReason,అప్లోడ్ QR కోడ్ చిత్రాలు చదవడానికి
permAccessLocation,స్థానం
permLocationReason,ఒక QR కోడ్ (కార్యాచరణ) స్కాన్ చేయబడింది ఇక్కడ మీరు గుర్తు
permGrant,అనుమతులను మంజూరు
dBtnWarning,(సురక్షితం కాని!)
dBtnRisky,(డేంజరస్!)
dQrContentCopied,కాపీ చేయబడిన QR కంటెంట్
dTranslatedText,అనువాదం టెక్స్ట్
scanNoCameraAccess,కెమెరా యాక్సెస్
scanNoCameraAccessDetail,"కెమెరా యాక్సెస్ లేకుండా, SEQR కాదు స్కాన్ QR కోడులు చెయ్యవచ్చు"
scanTimeout,సమయం ముగిసినది. తోబుట్టువుల QRs స్కాన్
scanTimeoutText,"గత 30 సెకన్లలో ఏ సంకేతాలు స్కాన్ లేదు, స్కాన్ టాబ్ను మళ్ళీ తెరువు మీరు స్కాన్ సిద్ధంగా ఉన్నప్పుడు. \ n \ సుదీర్ఘ బ్యాటరీ హరించడం ఉండవచ్చు కెమెరా nKeeping. \ కార్యాచరణ టాబ్ nOpening."
scanQrHint,స్కాన్ ఒక కోడ్ ను కనుగొనండి
settingAboutSEQR,SEQR స్కాన్ మరియు QR కోడులు అన్ని రకాల చదివి మీరు అంతటా రావచ్చు అసురక్షిత కంటెంట్ను గుర్తించడానికి రూపొందించబడింది. ఇది సమర్థవంతమైన భద్రతా అపాయాలు గుర్తించడానికి అనేక ఆన్లైన్ వనరుల నుండి సమాచారాన్ని ఉపయోగించి పాటు పలు తనిఖీలను నిర్వహిస్తుంది. ఇది సంకేతాలు మరియు కంటెంట్ విశ్వసించాలని లేదో గురించి తెలియజేయబడిన నిర్ణయాలు చేయడానికి మిమ్మల్ని అనుమతిస్తుంది.
settingSafeAdvisory,సేఫ్ బ్రౌజింగ్
settingUserAgreement,సేవా నిబంధనలు
settingPrivacyPolicy,గోప్యతా విధానం
settingAboutDhiway,Dhiway గురించి
settingLangChange,మీ భాషను ఎంచుకోండి
defaultscreentext,డిఫాల్ట్ స్క్రీన్ వంటి కార్యాచరణ
Historyneedtext,రికార్డ్ కార్యాచరణ
English,ఆంగ్ల
Kannada,కన్నడ
Malayalam,మలయాళం
Bengali,బెంగాలీ
Hindi,హిందీ
bookQR,బుక్ ISBN
textQR,మీరు స్కాన్ కోడ్ క్రింది వివరాలు కలిగి
eventLabel,ఈవెంట్
nameLabel,పేరు
addressLabel,చిరునామా
amountLabel,మొత్తం
paymentLabel,చెల్లింపు
dateLabel,తేదీ
startsAtLabel,వద్ద మొదలవుతుంది
locationLabel,స్థానం
emailLabel,ఇమెయిల్
phoneNumberLbl,ఫోను నంబరు
smsLabel,SMS
recipientLabel,గ్రహీత
textMsgLabel,అక్షరసందేశం
composeSmsBtn,జాబు టెక్స్ట్ సందేశం
addToCalendarBtn,క్యాలెండర్కు జోడించు
callOrganizerBtn,కాల్ ఆర్గనైజర్
addLocationBtn,మ్యాప్స్ కి స్థాన సేవ్
sendEmailBtn,ఈ మెయిల్ పంపించండి
qrContent,చెల్లింపు లింక్
threatTypeSafe,తోబుట్టువుల అసురక్షిత కంటెంట్ దొరకలేదు.
threatTypeNotSecure,రహస్యమైన - బహుశా రిస్కీ
threatTypeUnSafe,డేంజరస్ - ఈ సైట్ మానుకోండి
safeType,"మీరు సైట్ ద్వారా పంపిన లేక అందుకున్న సమాచారం సురక్షితం. సైట్ సురక్షితం ఫ్లాగ్ పోయినా ప్రైవేట్ సమాచారాన్ని భాగస్వామ్యం చేసినప్పుడు, ఎల్లప్పుడూ జాగ్రత్తగా ఉండండి. ఖచ్చితంగా మీరు సందర్శించడానికి కావలసిన సైట్ చేయడానికి చిరునామా బార్ వద్ద చూడండి."
unSafeType,"ఈ సైట్ సురక్షితం అని ఫ్లాగ్ చేయబడింది. ఈ సైట్ సాఫ్ట్వేర్ ఇన్స్టాల్ లేదా (ఉదాహరణకు, పాస్వర్డ్లు, ఫోన్ నంబర్లు లేదా క్రెడిట్ కార్డ్లు) మీ వ్యక్తిగత సమాచారాన్ని బహిర్గతం చేయడం వంటి ప్రమాదకరమైన పనులు చేయమని మోసపూరిత కాలేదు లేదా మీరు ఉద్దేశించని విషయాలు మీ పరికరం ఉపయోగించడానికి సందర్శించడం."
notSecureType,"ఈ సైట్ సురక్షిత కనెక్షన్ అందించడం లేదు. ఎవరైనా చూడండి లేదా మీరు ఈ సైట్ ద్వారా పంపడానికి మరియు అందుకోవడానికి సమాచారాన్ని మార్చడానికి చేయగలరు. మేము మీరు ఈ పేజీలో ఏ ప్రైవేట్ లేదా వ్యక్తిగత సమాచారమును నమోదు చేయకండి సూచిస్తున్నాయి. వీలైతే, సైట్ వాడవద్దు."
typeErrorSiteNotFound,మేము వెబ్ సైట్ చేరుకోవడానికి అనిపించవచ్చు కాదు. ఈ పేజీని ఉనికిలో లేదా కొన్ని ఇతర భయంకరమైన లోపం సంభవించింది లేదు.
typeErrorFailure,మేము దీనిని సాధ్యమైనంత తొందరగా సరిచేయడానికి ప్రయత్నిస్తునము. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి.
typeErrorNoConnection,ఇంటర్నెట్ కనెక్షన్. మీ నెట్వర్క్ సెట్టింగ్లను తనిఖీ చేసి మళ్లీ ప్రయత్నించండి.
modalSafeDetails,"సమాచారం మీరు పంపే లేదా సైట్ ద్వారా సురక్షితం పొందండి. \ N \ నెవెన్ మీరు ఈ సందేశాన్ని చూసినట్లయితే ప్రైవేటు సమాచారాన్ని భాగస్వామ్యం చేసినప్పుడు, ఎల్లప్పుడూ జాగ్రత్తగా ఉండండి. ఖచ్చితంగా మీరు సందర్శించడానికి కావలసిన సైట్ లో ఉన్నారు చేయడానికి చిరునామా బార్ వద్ద చూడండి."
modalNotSecureDetails,"ఈ సైట్ సురక్షిత కనెక్షన్ ఇవ్వలేము. ఎవరైనా చూడండి లేదా మీరు ఈ సైట్ ద్వారా పంపండి లేదా పొందుటకు సమాచారాన్ని మార్చడానికి చేయగలరు. \ N \ n మేము మీరు ఈ పేజీలో ఏ ప్రైవేట్ లేదా వ్యక్తిగత సమాచారమును నమోదు చేయకండి సూచిస్తున్నాయి. \ N \ n సాధ్యం, సైట్ వాడవద్దు."
modalUnSafeDetails,"ఈ సైట్ సాఫ్ట్వేర్ ఇన్స్టాల్ లేదా (ఉదాహరణకు, పాస్వర్డ్లు, ఫోన్ నంబర్లు లేదా క్రెడిట్ కార్డ్లు) మీ వ్యక్తిగత సమాచారాన్ని బహిర్గతం చేయడం వంటి ప్రమాదకరమైన పనులు చేయమని మోసపూరిత కాలేదు లేదా మీరు ఉద్దేశించని విషయాలు మీ కంప్యూటర్ ఉపయోగించే సందర్శించడం."
messageLastUpdated,ఈ సమాచారం చివరిగా నవీకరించబడింది జరిగినది {{date}}.
messageSiteSaftey,సైట్ భద్రతా పైగా సమయం మార్చవచ్చు. నవీకరణల కోసం తనిఖీ చెయ్యండి.
modalPaymentDetails,చెల్లింపు లింక్
internetError,"నెమ్మదిగా లేదా ఇంటర్నెట్ కనెక్షన్, మీ ఇంటర్నెట్ అమర్పులను తనిఖీ చేయండి."
internetErrorHead,అయ్యో
upiDetailWithPaymentText,ఈ QR VPA చిరునామాతో పే INR {{amountToPay}} కోసం లింక్ను {{merchantName}} కలిగి {{merchantId}}. మీరు అనుకుంటే డబ్బు పంపడానికి ఏ చెల్లింపు అనువర్తనాలను ఉపయోగించవచ్చు.
upiDetailText,ఈ QR పే {{merchantName}} VPA చిరునామాతో ఒక లింక్ను కలిగి {{merchantId}}. మీరు అనుకుంటే డబ్బు పంపడానికి ఏ చెల్లింపు అనువర్తనాలను ఉపయోగించవచ్చు.
