"SEQR is designed to scan and read all kinds of QR Codes and identify unsafe content that you may come across. It performs several checks in addition to using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","എല്ലാത്തരം ക്യുആർ കോഡുകളും സ്കാൻ ചെയ്യാനും വായിക്കാനും നിങ്ങൾക്ക് ലഭിക്കാനിടയുള്ള സുരക്ഷിതമല്ലാത്ത ഉള്ളടക്കം തിരിച്ചറിയാനുമാണ് SEQR രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്. സുരക്ഷാ അപകടസാധ്യതകൾ തിരിച്ചറിയുന്നതിന് വിവിധ ഓൺലൈൻ ഉറവിടങ്ങളിൽ നിന്നുള്ള വിവരങ്ങൾ ഉപയോഗിക്കുന്നതിന് പുറമേ ഇത് നിരവധി പരിശോധനകൾ നടത്തുന്നു. കോഡുകളെയും ഉള്ളടക്കത്തെയും വിശ്വസിക്കണോ വേണ്ടയോ എന്ന് തീരുമാനമെടുക്കാൻ ഇത് നിങ്ങളെ പ്രാപ്‌തമാക്കുന്നു.",,settingAboutSEQR,,"SEQR is designed to scan and read all kinds of QR Codes and identify unsafe content that you may come across. It performs several checks in addition to using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content."
"Safe Browsing","സുരക്ഷിത ബ്രൗസിംഗ്",,settingSafeAdvisory,,"Safe Browsing"
"Terms of Service","സേവന നിബന്ധനകൾ",,settingUserAgreement,,"Terms of Service"
"Privacy Policy",സ്വകാര്യതാനയം,,settingPrivacyPolicy,,"Privacy Policy"
"About Dhiway","ധിവയ് കുറിച്ച്",,settingAboutDhiway,,"About Dhiway"
"Select your language","നിങ്ങളുടെ ഭാഷ തിരഞ്ഞെടുക്കുക",,settingLangChange,,"Select your language"
"Activity as default screen","സ്ഥിര സ്ക്രീൻ ആയി Activity",,defaultscreentext,,"Activity as default screen"
"Record Activity","റെക്കോർഡ് പ്രവർത്തനം",,Historyneedtext,,"Record Activity"
English,ഇംഗ്ലീഷ്,,English,,English
Kannada,കന്നഡ,,Kannada,,Kannada
Malayalam,മലയാളം,,Malayalam,,Malayalam
Bengali,ബംഗാളി,,Bengali,,Bengali
Hindi,ഹിന്ദി,,Hindi,,Hindi
"Book ISBN","പുസ്തകം ISBN",,bookQR,,"Book ISBN"
"The code you scanned contains the following detail","നിങ്ങൾ സ്കാൻ ചെയ്ത കോഡിൽ ഇനിപ്പറയുന്ന വിശദാംശങ്ങൾ അടങ്ങിയിരിക്കുന്നു",,textQR,,"The code you scanned contains the following detail"
Event,ഇവന്റ്,,eventLabel,,Event
Name,പേര്,,nameLabel,,Name
Address,വിലാസം,,addressLabel,,Address
Amount,തുക,,amountLabel,,Amount
Payment,പേയ്മെന്റ്,,paymentLabel,,Payment
Date,തീയതി,,dateLabel,,Date
"Starts at","ന് ആരംഭിക്കുന്നു",,startsAtLabel,,"Starts at"
Email,ഇമെയിൽ,,emailLabel,,Email
"Phone number","ഫോൺ നമ്പർ",,phoneNumberLbl,,"Phone number"
SMS,എസ്എംഎസ്,,smsLabel,,SMS
Recipient,സ്വീകർത്താവ്,,recipientLabel,,Recipient
"Text message","ടെക്സ്റ്റ് സന്ദേശം",,textMsgLabel,,"Text message"
"Compose text message","കമ്പോസ് ടെക്സ്റ്റ് സന്ദേശം",,composeSmsBtn,,"Compose text message"
"Add to Calendar","കലണ്ടർ ചേർക്കുക",,addToCalendarBtn,,"Add to Calendar"
"Call Organizer","കോൾ ഓർഗനൈസർ",,callOrganizerBtn,,"Call Organizer"
"Save Location to Maps","മാപ്‌സിലേക്ക് ലൊക്കേഷൻ സംരക്ഷിക്കുക",,addLocationBtn,,"Save Location to Maps"
"Send Email","ഇമെയിൽ അയയ്ക്കുക",,sendEmailBtn,,"Send Email"
"Payment Link","പേയ്മെന്റ് ലിങ്ക്",,modalPaymentDetails,,"Payment Link"
"No Unsafe Content Found.","സുരക്ഷിതമല്ലാത്ത ഉള്ളടക്കം കണ്ടെത്തിയില്ല.",,threatTypeSafe,,"No Unsafe Content Found."
"Not Secure - Probably Risky","സുരക്ഷിതമല്ലാത്ത - ഒരുപക്ഷെ അപകടകരം",,threatTypeNotSecure,,"Not Secure - Probably Risky"
"Dangerous - Avoid this Site","അപകടകരമായത് - ഈ സൈറ്റ് ഒഴിവാക്കുക",,threatTypeUnSafe,,"Dangerous - Avoid this Site"
"Information you send or receive through the site is secure. Even if the site is flagged safe, always be careful when sharing private information. Look at the address bar to make sure you are on the site you want to visit.","സൈറ്റ് വഴി നിങ്ങൾ അയയ്ക്കുന്നതോ സ്വീകരിക്കുന്നതോ ആയ വിവരങ്ങൾ സുരക്ഷിതമാണ്. സൈറ്റ് സുരക്ഷിതമായി ഫ്ലാഗുചെയ്‌തിട്ടുണ്ടെങ്കിലും, സ്വകാര്യ വിവരങ്ങൾ പങ്കിടുമ്പോൾ എപ്പോഴും ശ്രദ്ധിക്കുക. നിങ്ങൾ സന്ദർശിക്കാൻ ആഗ്രഹിക്കുന്ന സൈറ്റിലാണെന്ന് ഉറപ്പാക്കാൻ വിലാസ(address) ബാർ നോക്കുക.",,safeType,,"Information you send or receive through the site is secure. Even if the site is flagged safe, always be careful when sharing private information. Look at the address bar to make sure you are on the site you want to visit."
"This site has been flagged as unsafe. Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your device to do things that you do not intend.","ഈ സൈറ്റ് സുരക്ഷിതമല്ലാത്ത ഫ്ലാഗുചെയ്തു. ഈ സൈറ്റ് സന്ദർശിക്കുന്നത് സോഫ്റ്റ്വെയർ ഇൻസ്റ്റാളുചെയ്യുന്നതോ സ്വകാര്യ വിവരങ്ങൾ പോലുള്ള അപകടകരമായ കാര്യങ്ങൾ ചെയ്യുന്നതിന് നിങ്ങളെ കബളിപ്പിക്കാൻ (ഉദാഹരണത്തിന്, പാസ്വേഡുകൾ, ഫോൺ നമ്പറുകൾ, ക്രെഡിറ്റ് കാർഡുകൾ) അല്ലെങ്കിൽ നിങ്ങൾ ഉദ്ദേശിക്കുന്നില്ല കാര്യങ്ങൾ ചെയ്യാൻ നിങ്ങളുടെ ഉപകരണം ഉപയോഗിക്കാം.",,unSafeType,,"This site has been flagged as unsafe. Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your device to do things that you do not intend."
"This site does not provide a secure connection. Someone might be able to see or change the information you send and receive through this site. We suggest you do not enter any private or personal information on this page. If possible, do not use the site.","ഈ സൈറ്റ് ഒരു സുരക്ഷിത കണക്ഷൻ നൽകില്ല. ആരോ ഈ സൈറ്റ് വഴി അയയ്ക്കാനും സ്വീകരിക്കാനും വിവരങ്ങൾ കാണാനോ മാറ്റാൻ കഴിയും വേണ്ടി. ഞങ്ങൾ ഈ പേജിൽ ഏതെങ്കിലും സ്വകാര്യ വ്യക്തിഗത വിവരങ്ങൾ നൽകുക ചെയ്യരുത് നിർദ്ദേശിക്കുന്നു. കഴിയുമെങ്കിൽ, സൈറ്റ് ഉപയോഗിക്കരുത്.",,notSecureType,,"This site does not provide a secure connection. Someone might be able to see or change the information you send and receive through this site. We suggest you do not enter any private or personal information on this page. If possible, do not use the site."
"We can't seem to reach the web site. This page doesn't exist or some other horrible error has occurred. ","ഞങ്ങൾക്ക് വെബ്‌സൈറ്റിൽ എത്താൻ കഴിയില്ല. ഈ പേജ് നിലവിലില്ല അല്ലെങ്കിൽ മറ്റെന്തെങ്കിലും ഭയാനകമായ പിശക് സംഭവിച്ചു",,typeErrorSiteNotFound,,"We can't seem to reach the web site. This page doesn't exist or some other horrible error has occurred. "
"We're working on getting this fixed as soon as we can. Please try again later.","ഞങ്ങൾക്ക് കഴിയുന്നത്ര വേഗം ഇത് പരിഹരിക്കാൻ  പരിശ്രമിക്കുകയാണ്. പിന്നീട് വീണ്ടും ശ്രമിക്കുക.",,typeErrorFailure,,"We're working on getting this fixed as soon as we can. Please try again later."
"No Internet Connection. Check your network settings and try again.","ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ല. നിങ്ങളുടെ നെറ്റ്വർക്ക് ക്രമീകരണങ്ങൾ പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക.",,typeErrorNoConnection,,"No Internet Connection. Check your network settings and try again."
"Information you send or get through the site is secure.

Even if you see this message,always be careful when sharing private information. Look at the address bar to make sure you're on the site you want to visit.","നിങ്ങൾ സൈറ്റിലൂടെ അയയ്ക്കുന്നതോ ലഭിക്കുന്നതോ ആയ വിവരങ്ങൾ സുരക്ഷിതമാണ്.

നിങ്ങൾ ഈ സന്ദേശം കണ്ടാലും, സ്വകാര്യ വിവരങ്ങൾ പങ്കിടുമ്പോൾ എപ്പോഴും ശ്രദ്ധിക്കുക. നിങ്ങൾ സന്ദർശിക്കാൻ ആഗ്രഹിക്കുന്ന സൈറ്റിലാണെന്ന് ഉറപ്പാക്കാൻ വിലാസ(address) ബാർ നോക്കുക.",,modalSafeDetails,,"Information you send or get through the site is secure.

Even if you see this message,always be careful when sharing private information. Look at the address bar to make sure you're on the site you want to visit."
"This site can't provide a secure connection. Someone might be able to see or change the information you send or get through this site.

We suggest you don't enter any private or personal information on this page.

If possible, don't use the site.","ഈ സൈറ്റിന് ഒരു സുരക്ഷിത കണക്ഷൻ നൽകാൻ കഴിയില്ല. നിങ്ങൾ‌ അയയ്‌ക്കുന്ന അല്ലെങ്കിൽ‌ ഈ സൈറ്റിലൂടെ ലഭിക്കുന്ന വിവരങ്ങൾ‌ മറ്റൊരാൾ‌ക്ക് കാണാനോ മാറ്റാനോ കഴിയും.

ഈ പേജിൽ സ്വകാര്യമോ വ്യക്തിഗതമോ ആയ വിവരങ്ങളൊന്നും നൽകരുതെന്ന് ഞങ്ങൾ നിർദ്ദേശിക്കുന്നു.

കഴിയുമെങ്കിൽ, സൈറ്റ് ഉപയോഗിക്കരുത്.",,modalNotSecureDetails,,"This site can't provide a secure connection. Someone might be able to see or change the information you send or get through this site.

We suggest you don't enter any private or personal information on this page.

If possible, don't use the site."
"Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your computer to do things that you do not intend.","ഈ സൈറ്റ് സന്ദർശിക്കുന്നത് സോഫ്റ്റ്വെയർ ഇൻസ്റ്റാൾ ചെയ്യുകയോ നിങ്ങളുടെ വ്യക്തിഗത വിവരങ്ങൾ വെളിപ്പെടുത്തുകയോ പോലുള്ള അപകടകരമായ എന്തെങ്കിലും ചെയ്യാൻ നിങ്ങളെ കബളിപ്പിച്ചേക്കാം (ഉദാഹരണത്തിന്, പാസ്‌വേഡുകൾ, ഫോൺ നമ്പറുകൾ അല്ലെങ്കിൽ ക്രെഡിറ്റ് കാർഡുകൾ) അല്ലെങ്കിൽ നിങ്ങൾ ഉദ്ദേശിക്കാത്ത കാര്യങ്ങൾ ചെയ്യാൻ നിങ്ങളുടെ കമ്പ്യൂട്ടർ ഉപയോഗിക്കുക.",,modalUnSafeDetails,,"Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your computer to do things that you do not intend."
"This info was last updated on {{date}}.","ഈ വിവരം കഴിഞ്ഞ {{date}} ന് അപ്ഡേറ്റ് ചെയ്തിട്ടുണ്ട്.",,messageLastUpdated,,"This info was last updated on {{date}}."
"Site safety can change over time. Check back for updates.","സൈറ്റ് സുരക്ഷാ കാലക്രമേണ മാറ്റാനാകും. അപ്ഡേറ്റുകൾ പരിശോധിക്കുക.",,messageSiteSaftey,,"Site safety can change over time. Check back for updates."
"Slow or no Internet connection, Please check your internet settings.","സ്ലോ അല്ലെങ്കിൽ ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ല, ദയവായി നിങ്ങളുടെ ഇന്റർനെറ്റ് ക്രമീകരണങ്ങൾ പരിശോധിക്കുക.",,internetError,,"Slow or no Internet connection, Please check your internet settings."
Whoops,ക്ഷമിക്കണം,,internetErrorHead,,Whoops
"This QR contains a link to pay INR {{amountToPay}} to {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","ഈ VPA വിലാസം {{merchantId} with ഉള്ള INR {{amountToPay}} മുതൽ {{merchantName} pay അടയ്‌ക്കാനുള്ള ഒരു ലിങ്ക് ഈ QR- ൽ അടങ്ങിയിരിക്കുന്നു. നിങ്ങൾക്ക് വേണമെങ്കിൽ പണം അയയ്‌ക്കാൻ ഏത് പേയ്‌മെന്റ് അപ്ലിക്കേഷനുകളും ഉപയോഗിക്കാം",,upiDetailWithPaymentText,"Need to check this again","This QR contains a link to pay INR {{amountToPay}} to {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to."
"This QR contains a link to pay {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","ഈVPA വിലാസം {{merchantName}} പേ {{merchantId}} ഒരു ലിങ്ക് ഈ QR- ൽ അടങ്ങിയിരിക്കുന്നു. നിങ്ങൾ ആഗ്രഹിക്കുന്നെങ്കിൽ നിങ്ങൾ പണം അയയ്ക്കാൻ ഏതെങ്കിലും പേയ്മെന്റ് അപ്ലിക്കേഷനുകൾ ഉപയോഗിക്കാൻ കഴിയും.",,upiDetailText,,"This QR contains a link to pay {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to."
"We're working on getting this fixed as soon as we can. Please try again later.","ഞങ്ങൾക്ക് കഴിയുന്നത്ര വേഗം ഇത് പരിഹരിക്കാൻ പരിശ്രമിക്കുകയാണ്. പിന്നീട് വീണ്ടും ശ്രമിക്കുക."," प्रयास करें।",typeErrorFailure,,
