"Term ","Translated Text","Context ","Reference","Comment"
"Not scanned any codes in the last 30 seconds, reopen Scan tab when you are ready to scan.\n\nKeeping the camera on for long may drain battery.\nOpening the Activity tab.","ಕಳೆದ 30 ಸೆಕೆಂಡುಗಳಲ್ಲಿ ಯಾವುದೇ ಸಂಕೇತಗಳು ಸ್ಕ್ಯಾನ್, ಸ್ಕ್ಯಾನ್ ಟ್ಯಾಬ್ ತೆರೆಯಿರಿ ನೀವು ಸ್ಕ್ಯಾನ್ ತಯಾರಾಗಿರುವಾಗ. \ n \ ದೀರ್ಘ ಬ್ಯಾಟರಿ ಹರಿಸುತ್ತವೆ ಮಾಡಬಹುದು ಕ್ಯಾಮರಾ nKeeping. \ ಚಟುವಟಿಕೆ ಟ್ಯಾಬ್ nOpening.",,"scanTimeoutText",
"Find a code to scan","ಸ್ಕ್ಯಾನ್ ಮಾಡಲು ಕೋಡ್ ಹುಡುಕಿ",,"scanQrHint",
"SEQR is designed to scan and read all kinds of QR Codes and identify unsafe content that you may come across. It performs several checks in addition to using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR ಸ್ಕ್ಯಾನ್ ಮತ್ತು QR ಕೋಡ್ಸ್ ಎಲ್ಲಾ ರೀತಿಯ ಓದಲು ಮತ್ತು ನೀವು ಅಡ್ಡಲಾಗಿ ಮಾಡಬಹುದು ಬರುವ ಅಸುರಕ್ಷಿತ ವಿಷಯವನ್ನು ಗುರುತಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ. ಇದು ಸಂಭಾವ್ಯ ಭದ್ರತಾ ಅಪಾಯಗಳನ್ನು ಗುರುತಿಸಲು ವಿವಿಧ ಆನ್ಲೈನ್ ಮೂಲಗಳಿಂದ ಬಳಸಿ ಜೊತೆಗೆ ಹಲವಾರು ಚೆಕ್ ನಿರ್ವಹಿಸುತ್ತದೆ. ಇದು ಸಂಕೇತಗಳು ಮತ್ತು ವಿಷಯವನ್ನು ನಂಬಲು ಎಂಬುದನ್ನು ಬಗ್ಗೆ ತೀರ್ಮಾನ ನೀವು ಶಕ್ತಗೊಳಿಸುತ್ತದೆ.",,"settingAboutSEQR",
"Safe Browsing","ಸುರಕ್ಷಿತ ಬ್ರೌಸಿಂಗ್",,"settingSafeAdvisory",
"Terms of Service","ಸೇವಾ ನಿಯಮಗಳು",,"settingUserAgreement",
"Privacy Policy","ಗೌಪ್ಯತಾ ನೀತಿ",,"settingPrivacyPolicy",
"About Dhiway","Dhiway ಬಗ್ಗೆ",,"settingAboutDhiway",
"Select your language","ನಿಮ್ಮ ಭಾಷೆಯನ್ನು ಆಯ್ಕೆ",,"settingLangChange",
"Activity as default screen","ಡೀಫಾಲ್ಟ್ ಪರದೆಯ ಚಟುವಟಿಕೆ",,"defaultscreentext",
"Record Activity","ರೆಕಾರ್ಡ್ ಚಟುವಟಿಕೆ",,"Historyneedtext",
"English","ಆಂಗ್ಲ",,"English",
"Kannada","ಕನ್ನಡ",,"Kannada",
"Malayalam","ಮಲಯಾಳಂ",,"Malayalam",
"Bengali","ಬಂಗಾಳಿ",,"Bengali",
"Hindi","ಹಿಂದಿ",,"Hindi",
"Book ISBN","ಪುಸ್ತಕ ಐಎಸ್ಬಿಎನ್",,"bookQR",
"The code you scanned contains the following detail","ನೀವು ಸ್ಕ್ಯಾನ್ ಕೋಡ್ ಕೆಳಗಿನ ವಿವರ ಒಳಗೊಂಡಿದೆ",,"textQR",
"Event","ಈವೆಂಟ್",,"eventLabel",
"Name","ಹೆಸರು",,"nameLabel",
"Address","ವಿಳಾಸ",,"addressLabel",
"Amount","ಪ್ರಮಾಣ",,"amountLabel",
"Payment","ಪಾವತಿ",,"paymentLabel",
"Date","ದಿನಾಂಕ",,"dateLabel",
"Starts at","ಗೆ ಪ್ರಾರಂಭ",,"startsAtLabel",
"Location","ಸ್ಥಳ",,"locationLabel",
"Email","ಇಮೇಲ್",,"emailLabel",
"Phone number","ದೂರವಾಣಿ ಸಂಖ್ಯೆ",,"phoneNumberLbl",
"SMS","ಎಸ್ಎಂಎಸ್",,"smsLabel",
"Recipient","ಪುರಸ್ಕೃತರು",,"recipientLabel",
"Text message","ಅಕ್ಷರ ಸಂದೇಶ",,"textMsgLabel",
"Compose text message","ಕಂಪೋಸ್ ಪಠ್ಯ ಸಂದೇಶ",,"composeSmsBtn",
"Add to Calendar","ಕ್ಯಾಲೆಂಡರ್ಗೆ ಸೇರಿಸು",,"addToCalendarBtn",
"Call Organizer","ಕಾಲ್ ಸಂಘಟಕ",,"callOrganizerBtn",
"Save Location to Maps","ನಕ್ಷೆಗಳಿಗೆ ಸ್ಥಳ ಉಳಿಸಿ",,"addLocationBtn",
"Send Email","ಇಮೇಲ್ ಕಳುಹಿಸಿ",,"sendEmailBtn",
"Payment Link","ಪಾವತಿ ಲಿಂಕ್",,"qrContent",
"No Unsafe Content Found.","ಯಾವುದೇ ಅಸುರಕ್ಷಿತ ವಿಷಯ ಕಂಡುಬಂದಿಲ್ಲ.",,"threatTypeSafe",
"Not Secure - Probably Risky","ಭದ್ರ - ಬಹುಶಃ ರಿಸ್ಕಿ",,"threatTypeNotSecure",
"Dangerous - Avoid this Site","ಡೇಂಜರಸ್ - ಈ ಸೈಟ್ ತಪ್ಪಿಸಿ",,"threatTypeUnSafe",
"Information you send or receive through the site is secure. Even if the site is flagged safe, always be careful when sharing private information. Look at the address bar to make sure you are on the site you want to visit.","ನೀವು ಸೈಟ್ ಮೂಲಕ ಕಳುಹಿಸಲು ಅಥವಾ ಸ್ವೀಕರಿಸಲು ಮಾಹಿತಿ ಸುರಕ್ಷಿತವಾಗಿದೆ. ಖಾಸಗಿ ಮಾಹಿತಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳುವಾಗ ಸೈಟ್ ಸುರಕ್ಷಿತ ಫ್ಲ್ಯಾಗ್ ಸಹ, ಯಾವಾಗಲೂ ಎಚ್ಚರಿಕೆ. ನೀವು ಭೇಟಿ ಮಾಡಲು ಬಯಸುವ ಸೈಟ್ನಲ್ಲಿ ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ ವಿಳಾಸ ಪಟ್ಟಿಯನ್ನು ನೋಡಿ.",,"safeType",
"This site has been flagged as unsafe. Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your device to do things that you do not intend.","ಈ ಸೈಟ್ ಅಸುರಕ್ಷಿತ ಎಂದು ಫ್ಲ್ಯಾಗ್ ಮಾಡಲಾಗಿದೆ. ಈ ಸೈಟ್ ಸಾಫ್ಟ್ವೇರ್ ಸ್ಥಾಪಿಸುವಿಕೆ ಅಥವಾ ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಬಹಿರಂಗ (ಉದಾಹರಣೆಗೆ, ಪಾಸ್ವರ್ಡ್ಗಳು, ಫೋನ್ ಸಂಖ್ಯೆಗಳು, ಅಥವಾ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ಗಳು) ಅಪಾಯಕಾರಿಯಾದ ಏನಾದರೂ ಮಾಡುವಂತಹ ಮೋಸವನ್ನು ಅಥವಾ ನೀವು ಉದ್ದೇಶ ಇಲ್ಲ ಕೆಲಸಗಳನ್ನು ನಿಮ್ಮ ಸಾಧನ ಬಳಸಬಹುದಾಗಿತ್ತು ಭೇಟಿ.",,"unSafeType",
"This site does not provide a secure connection. Someone might be able to see or change the information you send and receive through this site. We suggest you do not enter any private or personal information on this page. If possible, do not use the site.","ಈ ಸೈಟ್ ಸುರಕ್ಷಿತ ಸಂಪರ್ಕವನ್ನು ಒದಗಿಸುವುದಿಲ್ಲ. ಯಾರೋ ನೋಡಿ ಅಥವಾ ನೀವು ಕಳುಹಿಸಲು ಮತ್ತು ಈ ಸೈಟ್ ಮೂಲಕ ಸ್ವೀಕರಿಸಲು ಮಾಹಿತಿಯನ್ನು ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ. ನಾವು ನೀವು ಈ ಪುಟದಲ್ಲಿ ಯಾವುದೇ ಖಾಸಗಿ ಅಥವಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ ಇಲ್ಲ ಸೂಚಿಸುತ್ತದೆ. ಸಾಧ್ಯವಾದರೆ, ಸೈಟ್ ಬಳಸಬೇಡಿ.",,"notSecureType",
"We can't seem to reach the web site. This page doesn't exist or some other horrible error has occurred. ","ವೆಬ್ ಸೈಟ್ ತಲುಪಲು ತೋರುತ್ತದೆ ಸಾಧ್ಯವಿಲ್ಲ. ಈ ಪುಟವನ್ನು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ ಅಥವಾ ಕೆಲವು ಇತರ ಭಯಾನಕ ದೋಷ ಸಂಭವಿಸಿದೆ ಇಲ್ಲ.",,"typeErrorSiteNotFound",
"We're working on getting this fixed as soon as we can. Please try again later.","ನಾವು ಮಾಡಬಹುದು ಎಂದು ಈ ಕೂಡಲೇ ಸ್ಥಿರ ಪಡೆಯುವಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.",,"typeErrorFailure",
"No Internet Connection. Check your network settings and try again.","ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕ ಇಲ್ಲ. ನಿಮ್ಮ ನೆಟ್ವರ್ಕ್ ಸೆಟ್ಟಿಂಗ್ಗಳನ್ನು ಪರಿಶೀಲಿಸಿ ಹಾಗೂ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.",,"typeErrorNoConnection",
"Information you send or get through the site is secure.\n\nEven if you see this message,always be careful when sharing private information. Look at the address bar to make sure you're on the site you want to visit.","ಮಾಹಿತಿ ನೀವು ಕಳುಹಿಸಲು ಅಥವಾ ಸೈಟ್ ಮೂಲಕ ಸುರಕ್ಷಿತ ಪಡೆಯಿರಿ. \ N \ n ನೆವೆನ್ ಈ ಸಂದೇಶವನ್ನು ನೋಡಿ ವೇಳೆ, ಖಾಸಗಿ ಮಾಹಿತಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳುವಾಗ ಜಾಗರೂಕರಾಗಿರಿ. ನೀವು ಭೇಟಿ ಮಾಡಲು ಬಯಸುವ ಸೈಟ್ನಲ್ಲಿ ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ವಿಳಾಸ ಪಟ್ಟಿಯನ್ನು ನೋಡಿ.",,"modalSafeDetails",
"This site can't provide a secure connection. Someone might be able to see or change the information you send or get through this site.\n\nWe suggest you don't enter any private or personal information on this page.\n\nIf possible, don't use the site.","ಈ ಸೈಟ್ ಸುರಕ್ಷಿತ ಸಂಪರ್ಕವನ್ನು ಒದಗಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಯಾರೋ ನೋಡಿ ಅಥವಾ ಈ ಸೈಟ್ ಮೂಲಕ ಕಳುಹಿಸಲು ಅಥವಾ ಪಡೆಯಲು ಮಾಹಿತಿಯನ್ನು ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ. \ N \ n ನೀವು ಈ ಪುಟದಲ್ಲಿ ಯಾವುದೇ ಖಾಸಗಿ ಅಥವಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ ಇಲ್ಲ ಸೂಚಿಸುತ್ತದೆ. \ N \ n ಸಾಧ್ಯ, ಇಲ್ಲ ಸೈಟ್ ಬಳಸುವುದಿಲ್ಲ.",,"modalNotSecureDetails",
"Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your computer to do things that you do not intend.","ಈ ಸೈಟ್ ಸಾಫ್ಟ್ವೇರ್ ಸ್ಥಾಪಿಸುವಿಕೆ ಅಥವಾ ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಬಹಿರಂಗ (ಉದಾಹರಣೆಗೆ, ಪಾಸ್ವರ್ಡ್ಗಳು, ಫೋನ್ ಸಂಖ್ಯೆಗಳು, ಅಥವಾ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ಗಳು) ಅಪಾಯಕಾರಿಯಾದ ಏನಾದರೂ ಮಾಡುವಂತಹ ಮೋಸವನ್ನು ಅಥವಾ ನೀವು ಉದ್ದೇಶ ಇಲ್ಲ ಕೆಲಸಗಳನ್ನು ನಿಮ್ಮ ಕಂಪ್ಯೂಟರ್ ಬಳಸಬಹುದಾಗಿತ್ತು ಭೇಟಿ.",,"modalUnSafeDetails",
"This info was last updated on {{date}}.","ಈ ಮಾಹಿತಿಯನ್ನು ಕಳೆದ ರಂದು ನವೀಕರಿಸಲಾಗಿದೆ {{ದಿನಾಂಕ}}.",,"messageLastUpdated",
"Site safety can change over time. Check back for updates.","ಸೈಟ್ ಸುರಕ್ಷತೆಯ ಕುರಿತಂತೆ ಸಮಯವನ್ನು ಬದಲಾಯಿಸಬಹುದು. ನವೀಕರಣಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ.",,"messageSiteSaftey",
"Payment Link","ಪಾವತಿ ಲಿಂಕ್",,"modalPaymentDetails",
"Slow or no Internet connection, Please check your internet settings.","ನಿಧಾನವಾದ ಅಥವಾ ಅಂತರಜಾಲ ಸಂಪರ್ಕ, ನಿಮ್ಮ ಇಂಟರ್ನೆಟ್ ಸೆಟ್ಟಿಂಗ್ಗಳನ್ನು ಪರಿಶೀಲಿಸಿ.",,"internetError",
"Whoops","ಓಹ್",,"internetErrorHead",
"This QR contains a link to pay INR {{amountToPay}} to {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","ಈ QR VPA ವಿಳಾಸದೊಂದಿಗೆ ವೇತನ ರೂಪಾಯಿ {{amountToPay}} ಗೆ ಲಿಂಕ್ ಗೆ {{merchantName}} ಹೊಂದಿದ್ದರೆ {{merchantId}}. ನೀವು ಬಯಸಿದರೆ ಹಣ ಕಳುಹಿಸಲು ಯಾವುದೇ ಪಾವತಿಯನ್ನು ಅಪ್ಲಿಕೇಶನ್ಗಳನ್ನು ಬಳಸಬಹುದು.",,"upiDetailWithPaymentText",
"This QR contains a link to pay {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","ಈ QR ವೇತನ {{merchantName}} VPA ವಿಳಾಸದೊಂದಿಗೆ ಲಿಂಕ್ ಇರುತ್ತದೆ {{merchantId}}. ನೀವು ಬಯಸಿದರೆ ಹಣ ಕಳುಹಿಸಲು ಯಾವುದೇ ಪಾವತಿಯನ್ನು ಅಪ್ಲಿಕೇಶನ್ಗಳನ್ನು ಬಳಸಬಹುದು.",,"upiDetailText",
