Key,Translated Text
settingAboutSEQR,SEQR স্ক্যান এবং কিউ কোড সব ধরণের পড়া এবং অনিরাপদ বিষয়বস্তু যা আপনি জুড়ে আসতে পারে শনাক্ত করতে ডিজাইন করা হয়েছে। এটি বিভিন্ন অনলাইন উত্স থেকে তথ্য ব্যবহার করে সম্ভাব্য নিরাপত্তা ঝুঁকি চিহ্নিত করতে ছাড়াও বিভিন্ন চেক সম্পাদন করে। এটা তোলে থাকুক বা না থাকুক কোড এবং বিষয়বস্তু বিশ্বাস করতে সম্পর্কে অবগত সিদ্ধান্ত নিতে সক্ষম করে।
settingSafeAdvisory,নিরাপদ ব্রাউজিং
settingUserAgreement,সেবা পাবার শর্ত
settingPrivacyPolicy,গোপনীয়তা নীতি
settingAboutDhiway,Dhiway সম্পর্কে
settingLangChange,আপনার ভাষা নির্বাচন করুন
defaultscreentext,ডিফল্ট স্ক্রীন যেমন ভ্রমণ
Historyneedtext,রেকর্ড ভ্রমণ
English,ইংরেজি
Kannada,কন্নড
Malayalam,মালায়ালম
Bengali,বাংলা
Hindi,হিন্দি
bookQR,বইয়ের আইএসবিএন
textQR,আপনি যে কোডটি স্ক্যান নিম্নলিখিত বিস্তারিত রয়েছে
eventLabel,ঘটনা
nameLabel,নাম
addressLabel,ঠিকানা
amountLabel,পরিমাণ
paymentLabel,পারিশ্রমিক
dateLabel,তারিখ
startsAtLabel,আরম্ভ করা হয়
locationLabel,অবস্থান
emailLabel,ইমেইল
phoneNumberLbl,ফোন নম্বর
smsLabel,খুদেবার্তা
recipientLabel,প্রাপক
textMsgLabel,লিখিত বার্তা
composeSmsBtn,কম্পোজ পাঠ্য বার্তা
addToCalendarBtn,ক্যালেন্ডারে যোগ করুন
callOrganizerBtn,কল সংগঠক
addLocationBtn,অবস্থান মানচিত্রে সংরক্ষণ করুন
sendEmailBtn,ইমেইল পাঠান
qrContent,অর্থ প্রদান করুন
threatTypeSafe,কোন অনিরাপদ সামগ্রী পাওয়া গেছে।
threatTypeNotSecure,না সিকিউর - সম্ভবত ঝুঁকিপূর্ণ
threatTypeUnSafe,বিপজ্জনক - এই সাইট এড়িয়ে চলুন
safeType,"তথ্য আপনি পাঠাতে বা সাইটের মাধ্যমে প্রাপ্ত নিরাপদ। এমনকি যদি সাইটি নিরাপদ ফ্ল্যাগ করা হয়েছে, সবসময় সতর্কতা অবলম্বন ব্যক্তিগত তথ্য ভাগ করা। এড্রেস বারে তাকান নিশ্চিত করুন যে আপনি আপনি যে সাইটটি দেখার চান তার উপর হয় না।"
unSafeType,"এই সাইটটি অনিরাপদ হিসাবে চিহ্নিত করা হয়েছে। এই সাইটের কিছু সফটওয়্যার ইনস্টল করা বা (উদাহরণস্বরূপ, পাসওয়ার্ড, ফোন নম্বর, বা ক্রেডিট কার্ডসমূহ) আপনার ব্যক্তিগত তথ্য প্রকাশ করার মত বিপজ্জনক করছেন মধ্যে আপনাকে প্রতারিত করতে পারে অথবা আপনার ডিভাইস ব্যবহার বিষয় আছে যা আপনি মনস্থ করা না করতে পরিদর্শন করে।"
notSecureType,"এই সাইটটি কোনও সুরক্ষিত সংযোগ প্রদান করে না। কেউ দেখতে বা তথ্য আপনার পাঠানো ও এই সাইটের মাধ্যমে পান তা পরিবর্তন করতে সক্ষম হতে পারেন। আমরা প্রস্তাব দিচ্ছি আপনি এই পৃষ্ঠায় কোনো গোপন বা ব্যক্তিগত তথ্য প্রবেশ করো না। যদি সম্ভব হয়, সাইট ব্যবহার করবেন না।"
typeErrorSiteNotFound,আমরা ওয়েব সাইটে পৌঁছানোর মনে করতে পারবে না। এই পৃষ্ঠাটি কোন অস্তিত্ব নেই অথবা অন্য কোনো ভয়ঙ্কর ত্রুটি ঘটেছে।
typeErrorFailure,যত দ্রুত সম্ভব আমরা এটি ঠিক করার জন্য কাজ করছি। অনুগ্রহ করে একটু পরে আবার চেষ্টা করুন.
typeErrorNoConnection,ইন্টারনেট সংযোগ নেই। আপনার নেটওয়ার্ক সেটিংস পরীক্ষা করে আবার চেষ্টা করুন।
modalSafeDetails,"তথ্য আপনি পাঠাতে বা মাধ্যমে সাইটের নিরাপদ পেতে। \ N \ n Neven যদি এই বার্তা দেখতে, সবসময় সতর্কতা অবলম্বন ব্যক্তিগত তথ্য ভাগ করা। এড্রেস বারে তাকান নিশ্চিত করুন যে আপনি আপনি যে সাইটটি দেখার চান তার উপর করছি না।"
modalNotSecureDetails,"এই সাইটটি কোনও সুরক্ষিত সংযোগ প্রদান করতে পারেন না। কেউ \ n সম্ভব, সাইট ব্যবহার করবেন না \ n করার সুপারিশ করছি এই পৃষ্ঠাতে কোনো গোপন বা ব্যক্তিগত তথ্য প্রবেশ করো না দেখতে বা আপনি যে তথ্য পাঠাতে বা এই সাইটে মাধ্যমে পেতে পরিবর্তন করতে সক্ষম হতে পারেন। \ N করুন। \ N।"
modalUnSafeDetails,"এই সাইটের কিছু সফটওয়্যার ইনস্টল করা বা (উদাহরণস্বরূপ, পাসওয়ার্ড, ফোন নম্বর, বা ক্রেডিট কার্ডসমূহ) আপনার ব্যক্তিগত তথ্য প্রকাশ করার মত বিপজ্জনক করছেন মধ্যে আপনাকে প্রতারিত পারে বা আপনার কম্পিউটার ব্যবহার বিষয় আছে যা আপনি মনস্থ করা না করতে পরিদর্শন করে।"
messageLastUpdated,এই তথ্যটি গত আপডেট করা হয়েছে {{তারিখ}}।
messageSiteSaftey,সাইট নিরাপত্তা সময়ের সাথে পরিবর্তন করতে পারেন। আপডেটের জন্য আবার চেক করুন।
modalPaymentDetails,অর্থ প্রদান করুন
internetError,"ধীর বা কোনো ইন্টারনেট সংযোগ, আপনার ইন্টারনেট সেটিংস চেক করুন।"
internetErrorHead,উপস
upiDetailWithPaymentText,এই QR অর্পিত সম্পত্তি ঠিকানা দিয়ে দিতে আইএনআর {{amountToPay}} একটি লিঙ্ক {{merchantName}} রয়েছে {{merchantId}}। আপনি যে কোনো পেমেন্ট অ্যাপ্লিকেশানগুলি ব্যবহার যদি আপনি করতে ইচ্ছুক টাকা পাঠাতে পারবেন না।
upiDetailText,এই QR বেতন {{merchantName}} অর্পিত সম্পত্তি ঠিকানা দিয়ে একটি লিঙ্ক রয়েছে {{merchantId}}। আপনি যে কোনো পেমেন্ট অ্যাপ্লিকেশানগুলি ব্যবহার যদি আপনি করতে ইচ্ছুক টাকা পাঠাতে পারবেন না।
