"Email","Email",,"emailLabel",
"Phone number","Phone number",,"phoneNumberLbl",
"SMS","SMS",,"smsLabel",
"Recipient","Recipient",,"recipientLabel",
"Text message","Text message",,"textMsgLabel",
"Compose text message","Compose text message",,"composeSmsBtn",
"Add to Calendar","Add to Calendar",,"addToCalendarBtn",
"Call Organizer","Call Organizer",,"callOrganizerBtn",
"Save Location to Maps","Save Location to Maps",,"addLocationBtn",
"Send Email","Send Email",,"sendEmailBtn",
"Payment Link","Payment Link",,"qrContent",
"No Unsafe Content Found.","No Unsafe Content Found.",,"threatTypeSafe",
"Not Secure - Probably Risky","Not Secure - Probably Risky",,"threatTypeNotSecure",
"Dangerous - Avoid this Site","Dangerous - Avoid this Site",,"threatTypeUnSafe",
"Information you send or receive through the site is secure. Even if the site is flagged safe, always be careful when sharing private information. Look at the address bar to make sure you are on the site you want to visit.","Information you send or receive through the site is secure. Even if the site is flagged safe, always be careful when sharing private information. Look at the address bar to make sure you are on the site you want to visit.",,"safeType",
"This site has been flagged as unsafe. Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your device to do things that you do not intend.","This site has been flagged as unsafe. Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your device to do things that you do not intend.",,"unSafeType",
"This site does not provide a secure connection. Someone might be able to see or change the information you send and receive through this site. We suggest you do not enter any private or personal information on this page. If possible, do not use the site.","This site does not provide a secure connection. Someone might be able to see or change the information you send and receive through this site. We suggest you do not enter any private or personal information on this page. If possible, do not use the site.",,"notSecureType",
"We can't seem to reach the web site. This page doesn't exist or some other horrible error has occurred. ","We can't seem to reach the web site. This page doesn't exist or some other horrible error has occurred. ",,"typeErrorSiteNotFound",
"We're working on getting this fixed as soon as we can. Please try again later.","We're working on getting this fixed as soon as we can. Please try again later.",,"typeErrorFailure",
"No Internet Connection. Check your network settings and try again.","No Internet Connection. Check your network settings and try again.",,"typeErrorNoConnection",
"Information you send or get through the site is secure.\n\nEven if you see this message,always be careful when sharing private information. Look at the address bar to make sure you're on the site you want to visit.","Information you send or get through the site is secure.\n\nEven if you see this message,always be careful when sharing private information. Look at the address bar to make sure you're on the site you want to visit.",,"modalSafeDetails",
"This site can't provide a secure connection. Someone might be able to see or change the information you send or get through this site.\n\nWe suggest you don't enter any private or personal information on this page.\n\nIf possible, don't use the site.","This site can't provide a secure connection. Someone might be able to see or change the information you send or get through this site.\n\nWe suggest you don't enter any private or personal information on this page.\n\nIf possible, don't use the site.",,"modalNotSecureDetails",
"Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your computer to do things that you do not intend.","Visiting this site could trick you into doing something dangerous like installing software or revealing your personal information (for example, passwords, phone numbers, or credit cards) or use your computer to do things that you do not intend.",,"modalUnSafeDetails",
"This info was last updated on {{date}}.","This info was last updated on {{date}}.",,"messageLastUpdated",
"Site safety can change over time. Check back for updates.","Site safety can change over time. Check back for updates.",,"messageSiteSaftey",
"Payment Link","Payment Link",,"modalPaymentDetails",
"Slow or no Internet connection, Please check your internet settings.","Slow or no Internet connection, Please check your internet settings.",,"internetError",
"Whoops","Whoops",,"internetErrorHead",
"This QR contains a link to pay INR {{amountToPay}} to {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","This QR contains a link to pay INR {{amountToPay}} to {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.",,"upiDetailWithPaymentText",
"This QR contains a link to pay {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.","This QR contains a link to pay {{merchantName}} with VPA address {{merchantId}}. You can use any payment apps to send the money if you wish to.",,"upiDetailText",
